SYMB_COMPANY_NAME,SM_KEY_SYMBOL,SM_NEW_SYMBOL,SM_APPLICABLE_FROM
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,RDAFVGDD,NDAFVGDD,30-Oct-19
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDDG,NDAXIEDDG,30-Oct-19
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDD,NDAXIEDD,30-Oct-19
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDDD,NDAXIEDDD,30-Oct-19
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Int.Fund-QIF-SI-IP-DP-DPO,RMFINQIDP1,NMFINQIDP1,30-Oct-19
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Dual Ad FTF XI Sr XI Plan B - GO,RDAXIBDG,NDAXIBDG,30-Oct-19
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Dual Ad FTF XI SrXI Plan B-DPDPO,RDAXIBDDD,NDAXIBDDD,30-Oct-19
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Int. Fund-AIF-SI - RP- DP - RO,RMFINARDR1,NMFINARDR1,30-Oct-19
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Int. Fund-QIF-SI-RP-DP-DPO,RMFINQRDP1,NMFINQRDP1,30-Oct-19
GB Global Limited,MIL,GBGLOBAL,09-Sep-19
Tata Steel Long Products Limited,TATASPONGE,TATASTLLP,03-Sep-19
DiGiSPICE Technologies Limited,SPICEMOBI,DIGISPICE,28-Aug-19
PGIM India Dual Advantage Fund - Series 1 - DPG,DPRMDAD1,PGIMDAD1G,22-Aug-19
PGIM India Dual Advantage Fund - Series 1 - DPQDPO,DPRMDAD3,PGIMDAD3D,22-Aug-19
PGIM India Dual Advantage Fund - Series 1 - DPRDPO,DPRMDAD2,PGIMDAD2D,22-Aug-19
PGIM India Dual Advantage Fund - Series 1 - RPADPO,DPRMDAAD,PGIMDAADD,22-Aug-19
PGIM India Dual Advantage Fund - Series 1 - RPG,DPRMDAGP,PGIMDAGPG,22-Aug-19
PGIM India Dual Advantage Fund - Series 1 - RPQDPO,DPRMDAQD,PGIMDAQDD,22-Aug-19
PGIM India Dual Advantage Fund - Series 1 - RPRDPO,DPRMDADP,PGIMDADPD,22-Aug-19
PGIM India Fixed Duration Fund - Series 31 - DPG,PRM1SD1,PGIM1SD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series 31 - RPDPO,PRM1SDP,PGIM1SDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series 31 - RPG,PRM1SGP,PGIM1SGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AA - DPG,DPRMAAD1,PGIMAAD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AA - DPQDPO,DPRMAAD3,PGIMAAD3D,22-Aug-19
PGIM India Fixed Duration Fund - Series AA - RPADPO,DPRMAAAD,PGIMAAADD,22-Aug-19
PGIM India Fixed Duration Fund - Series AA - RPG,DPRMAAGP,PGIMAAGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AA - RPQDPO,DPRMAAQD,PGIMAAQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series AB - DPG,DPRMABD1,PGIMABD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AB - RPADPO,DPRMABAD,PGIMABADD,22-Aug-19
PGIM India Fixed Duration Fund - Series AB - RPG,DPRMABGP,PGIMABGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AB - RPQDPO,DPRMABQD,PGIMABQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series AB - RPRDPO,DPRMABDP,PGIMABDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series AC - DPADPO,DPRMACD4,PGIMACD4D,22-Aug-19
PGIM India Fixed Duration Fund - Series AC - DPG,DPRMACD1,PGIMACD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AC - DPRDPO,DPRMACD2,PGIMACD2D,22-Aug-19
PGIM India Fixed Duration Fund - Series AC - RPADPO,DPRMACAD,PGIMACADD,22-Aug-19
PGIM India Fixed Duration Fund - Series AC - RPG,DPRMACGP,PGIMACGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AC - RPQDPO,DPRMACQD,PGIMACQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series AC - RPRDPO,DPRMACDP,PGIMACDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series AE - DPADPO,DPRMAED4,PGIMAED4D,22-Aug-19
PGIM India Fixed Duration Fund - Series AE - DPG,DPRMAED1,PGIMAED1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AE - RPADPO,DPRMAEAD,PGIMAEADD,22-Aug-19
PGIM India Fixed Duration Fund - Series AE - RPG,DPRMAEGP,PGIMAEGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AE - RPRDPO,DPRMAEDP,PGIMAEDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series AF - DPADPO,DPRMFAD4,PGIMFAD4D,22-Aug-19
PGIM India Fixed Duration Fund - Series AF - DPG,DPRMFAD1,PGIMFAD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AF - RPADPO,DPRMFAAD,PGIMFAADD,22-Aug-19
PGIM India Fixed Duration Fund - Series AF - RPG,DPRMFAGP,PGIMFAGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AF - RPQDPO,DPRMFAQD,PGIMFAQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series AG - DPG,DPRMAGD1,PGIMAGD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AG - RPG,DPRMAGGP,PGIMAGGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AH - DPADPO,DPRMAHD4,PGIMAHD4D,22-Aug-19
PGIM India Fixed Duration Fund - Series AH - DPG,DPRMAHD1,PGIMAHD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AH - DPQDPO,DPRMAHD3,PGIMAHD3D,22-Aug-19
PGIM India Fixed Duration Fund - Series AH - RPADPO,DPRMAHAD,PGIMAHADD,22-Aug-19
PGIM India Fixed Duration Fund - Series AH - RPG,DPRMAHGP,PGIMAHGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AH - RPQDPO,DPRMAHQD,PGIMAHQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series AP - DPG,DPRMAPD1G,PGIMAPD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AP - RPG,DPRMAPGPG,PGIMAPGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AP - RPSDPO,DPRMAPDPD,PGIMAPDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series AQ - DPG,DPRMAQD1G,PGIMAQD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AQ - DPSDPO,DPRMAQD2D,PGIMAQD2D,22-Aug-19
PGIM India Fixed Duration Fund - Series AQ - RPG,DPRMAQGPG,PGIMAQGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AR - DPG,DPRMARD1G,PGIMRAD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AR - RPG,DPRMARGPG,PGIMRAGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AR - RPQDPO,DPRMARQDD,PGIMRAQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series AR - RPSDPO,DPRMARDPD,PGIMRADPD,22-Aug-19
PGIM India Fixed Duration Fund - Series AT - DPG,DPRMATD1G,PGIMATD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AT - RPG,DPRMATGPG,PGIMATGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AT - RPQDPO,DPRMATQDD,PGIMATQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series AT - RPSDPO,DPRMATDPD,PGIMATDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series AU - DPG,DPRMAUD1G,PGIMAUD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AU - RPG,DPRMAUGPG,PGIMAUGPG,22-Aug-19
